shape_B的第80个矩阵的K维度: 38
shape_B的第80个矩阵的N维度: 2
shape_B的第81个矩阵的K维度: 38
shape_B的第81个矩阵的N维度: 2
shape_B的第82个矩阵的K维度: 38
shape_B的第82个矩阵的N维度: 2
shape_B的第83个矩阵的K维度: 38
shape_B的第83个矩阵的N维度: 2
shape_B的第84个矩阵的K维度: 38
shape_B的第84个矩阵的N维度: 2
shape_B的第85个矩阵的K维度: 38
shape_B的第85个矩阵的N维度: 2
shape_B的第86个矩阵的K维度: 38
shape_B的第86个矩阵的N维度: 2
shape_B的第87个矩阵的K维度: 38
shape_B的第87个矩阵的N维度: 2
shape_B的第88个矩阵的K维度: 38
shape_B的第88个矩阵的N维度: 2
shape_B的第89个矩阵的K维度: 38
shape_B的第89个矩阵的N维度: 2
shape_B的第90个矩阵的K维度: 38
shape_B的第90个矩阵的N维度: 2
shape_B的第91个矩阵的K维度: 38
shape_B的第91个矩阵的N维度: 2
shape_B的第92个矩阵的K维度: 38
shape_B的第92个矩阵的N维度: 2
shape_B的第93个矩阵的K维度: 38
shape_B的第93个矩阵的N维度: 2
shape_B的第94个矩阵的K维度: 38
shape_B的第94个矩阵的N维度: 2
shape_B的第95个矩阵的K维度: 38
shape_B的第95个矩阵的N维度: 2
shape_B的第96个矩阵的K维度: 38
shape_B的第96个矩阵的N维度: 2
shape_B的第97个矩阵的K维度: 38
shape_B的第97个矩阵的N维度: 2
shape_B的第98个矩阵的K维度: 38
shape_B的第98个矩阵的N维度: 2
shape_B的第99个矩阵的K维度: 38
shape_B的第99个矩阵的N维度: 2
shape_B的第100个矩阵的K维度: 38
shape_B的第100个矩阵的N维度: 2
shape_B的第101个矩阵的K维度: 38
shape_B的第101个矩阵的N维度: 2
shape_B的第102个矩阵的K维度: 38
shape_B的第102个矩阵的N维度: 2
shape_B的第103个矩阵的K维度: 38
shape_B的第103个矩阵的N维度: 2
shape_B的第104个矩阵的K维度: 38
shape_B的第104个矩阵的N维度: 2
shape_B的第105个矩阵的K维度: 38
shape_B的第105个矩阵的N维度: 2
shape_B的第106个矩阵的K维度: ----------------------------------------------------------------------
------------------------------  [ Search ]
----------------------------------------------------------------------
Generate Sketches		#s: 3
Sample Initial Population	#s: 1455	fail_ct: 364	Time elapsed: 0.90
GA Iter: 0	Max score: 0.9989	Min score: 0.9049	#Pop: 128	#M+: 0	#M-: 0
GA Iter: 4	Max score: 0.9999	Min score: 0.9855	#Pop: 128	#M+: 1374	#M-: 69
EvolutionarySearch		#s: 128	Time elapsed: 3.87
----------------------------------------------------------------------
------------------------------  [ Measure ]
----------------------------------------------------------------------
Get 64 programs to measure:
................****************38
shape_B的第106个矩阵的N维度: 2
shape_B的第107个矩阵的K维度: 38
shape_B的第107个矩阵的N维度: 2
shape_B的第108个矩阵的K维度: 38
shape_B的第108个矩阵的N维度: 2
shape_B的第109个矩阵的K维度: 38
shape_B的第109个矩阵的N维度: 2
shape_B的第110个矩阵的K维度: 38
shape_B的第110个矩阵的N维度: 2
shape_B的第111个矩阵的K维度: 38
shape_B的第111个矩阵的N维度: 2
shape_B的第112个矩阵的K维度: 38
shape_B的第112个矩阵的N维度: 2
shape_B的第113个矩阵的K维度: 38
shape_B的第113个矩阵的N维度: 2
shape_B的第114个矩阵的K维度: 39
shape_B的第114个矩阵的N维度: 2
shape_B的第115个矩阵的K维度: 39
shape_B的第115个矩阵的N维度: 2
shape_B的第116个矩阵的K维度: 39
shape_B的第116个矩阵的N维度: 2
shape_B的第117个矩阵的K维度: 39
shape_B的第117个矩阵的N维度: 2
shape_B的第118个矩阵的K维度: 39
shape_B的第118个矩阵的N维度: 2
shape_B的第119个矩阵的K维度: 39
shape_B的第119个矩阵的N维度: 2
shape_B的第120个矩阵的K维度: 39
shape_B的第120个矩阵的N维度: 2
shape_B的第121个矩阵的K维度: 39
shape_B的第121个矩阵的N维度: 2
shape_B的第122个矩阵的K维度: 39
shape_B的第122个矩阵的N维度: 2
shape_B的第123个矩阵的K维度: 39
shape_B的第123个矩阵的N维度: 2
shape_B的第124个矩阵的K维度: 39
shape_B的第124个矩阵的N维度: 2
shape_B的第125个矩阵的K维度: 39
shape_B的第125个矩阵的N维度: 2
shape_B的第126个矩阵的K维度: 39
shape_B的第126个矩阵的N维度: 2
shape_B的第127个矩阵的K维度: 39
shape_B的第127个矩阵的N维度: 2
shape_B的第128个矩阵的K维度: 39
shape_B的第128个矩阵的N维度: 2
shape_B的第129个矩阵的K维度: 39
shape_B的第129个矩阵的N维度: 2
shape_B的第130个矩阵的K维度: 39
shape_B的第130个矩阵的N维度: 2
shape_B的第131个矩阵的K维度: 39
shape_B的第131个矩阵的N维度: 2
shape_B的第132个矩阵的K维度: 39
shape_B的第132个矩阵的N维度: 2
shape_B的第133个矩阵的K维度: 39
shape_B的第133个矩阵的N维度: 2
shape_B的第134个矩阵的K维度: 39
shape_B的第134个矩阵的N维度: 2
shape_B的第135个矩阵的K维度: 39
shape_B的第135个矩阵的N维度: 2
shape_B的第136个矩阵的K维度: 39
shape_B的第136个矩阵的N维度: 2
shape_B的第137个矩阵的K维度: 39
shape_B的第137个矩阵的N维度: 2
shape_B的第138个矩阵的K维度: 39
shape_B的第138个矩阵的N维度: 2
shape_B的第139个矩阵的K维度: 39
shape_B的第139个矩阵的N维度: 2
shape_B的第140个矩阵的K维度: 39
shape_B的第140个矩阵的N维度: 2
shape_B的第141个矩阵的K维度: 39
shape_B的第141个矩阵的N维度: 2
shape_B的第142个矩阵的K维度: 39
shape_B的第142个矩阵的N维度: 2
Computational DAG:
A = PLACEHOLDER [32, 32]
B = PLACEHOLDER [32, 2]
out(i, j) += (A[i, k]*B[k, j])


==================================================
No: 1	GFLOPS: 5.73 / 5.73	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.42, Tstamp:1691783801.89)
==================================================
Placeholder: A, B
parallel i.0@j.0@ (0,4)
  out.local auto_unroll: 16
  for k.0 (0,8)
    for j_c.2 (0,2)
      for k.1 (0,4)
        for i_c.3 (0,8)
          out.local = ...
  for i.1 (0,8)
    vectorize j.1 (0,2)
      out = ...

==================================================
No: 2	GFLOPS: 4.10 / 5.73	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.36, Tstamp:1691783802.21)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,32)
  for k.1 (0,32)
    for i.3 (0,2)
      out = ...

==================================================
No: 3	GFLOPS: 4.99 / 5.73	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.32, Tstamp:1691783802.43)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,4)
  out.local auto_unroll: 64
  for k.0 (0,16)
    for k.1 (0,2)
      for i_c.3 (0,16)
        out.local = ...
  for i.2 (0,16)
    out = ...

==================================================
No: 4	GFLOPS: 5.92 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.30, Tstamp:1691783802.67)
==================================================
Placeholder: A, B
out auto_unroll: 16
parallel i.0@j.0@i.1@j.1@ (0,8)
  for k.0 (0,32)
    for i.2 (0,4)
      vectorize j.3 (0,2)
        out = ...

==================================================
No: 5	GFLOPS: 4.01 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.34, Tstamp:1691783802.93)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,16)
  out.local auto_unroll: 64
  for i_c.2 (0,4)
    for k.1 (0,32)
      out.local = ...
  for i.2 (0,4)
    out = ...

==================================================
No: 6	GFLOPS: 4.93 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.38, Tstamp:1691783803.21)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,4)
  for k.0 (0,2)
    for k.1 (0,16)
      for i_c.3 (0,16)
        out.local = ...
  for i.2 (0,16)
    out = ...

==================================================
No: 7	GFLOPS: 3.28 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.37, Tstamp:1691783803.46)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,2)
  for k.0 (0,4)
    for i.2 (0,8)
      for j.2 (0,2)
        for k.1 (0,8)
          for i.3 (0,2)
            out = ...

==================================================
No: 8	GFLOPS: 4.79 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.33, Tstamp:1691783803.71)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,16)
  out.local auto_unroll: 16
  for k.0 (0,8)
    for k.1 (0,4)
      for i_c.3 (0,4)
        out.local = ...
  for i.2 (0,4)
    out = ...

==================================================
No: 9	GFLOPS: 3.87 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.32, Tstamp:1691783803.96)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,8)
  for i.2 (0,4)
    for j.2 (0,2)
      for k.1 (0,32)
        out = ...

==================================================
No: 10	GFLOPS: 4.82 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.30, Tstamp:1691783804.21)
==================================================
Placeholder: A, B
parallel i.0@j.0@i.1@j.1@ (0,16)
  out.local auto_unroll: 16
  for k.0 (0,32)
    for i_c.2 (0,2)
      for j_c.2 (0,2)
        out.local = ...
  for i.2 (0,2)
    vectorize j.2 (0,2)
      out = ...

==================================================
No: 11	GFLOPS: 4.90 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.32, Tstamp:1691783804.48)
==================================================
Placeholder:................****************
 A, B
parallel i.0@j.0@i.1@j.1@ (0,8)
  out.local auto_unroll: 64
  for k.0 (0,32)
    for i_c.2 (0,8)
      out.local = ...
  for i.2 (0,8)
    out = ...

==================================================
No: 12	GFLOPS: 4.93 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.75, Tstamp:1691783804.72)
==================================================
Placeholder: A, B
parallel i.0@ (0,4)
  out.local auto_unroll: 512
  for i_c.1 (0,2)
    for j_c.1 (0,2)
      for k.0 (0,16)
        for k.1 (0,2)
          for i_c.3 (0,4)
            out.local = ...
  for i.1 (0,8)
    vectorize j.1 (0,2)
      out = ...

==================================================
No: 13	GFLOPS: 4.49 / 5.92	results: MeasureResult(cost:[0.0000], error_no:0, all_cost:0.34, Tstamp:1691783804.98)
==================================================
Placeholder: A, B
parallel i.0@j.0@ (0,2)
  for k.0 (0,4)
    for i_c.2 (0,2)
      for j_c.2 (0,2)
        for k.1 (0,8)
          for i_c.3 (0,8)
